product_name,price,rating,sell,location,kategori
Oppo A60 [8/128 GB] [8/256 GB] Garansi Resmi Oppo Indonesia,Rp2.256.000,5.0,100+ terjual,Jakarta Barat,oppo
OPPO A3 PRO 5G 8/256 OPPO A 3 PRO 5G 8/256 OPPO A3PRO 5G NFC 8/256 GARANSI RESMI INDONESIA,Rp3.999.000,5.0,1 terjual,Bekasi,oppo
OPPO A60 NFC 8/256 OPPO A 60 NFC 8/128 GARANSI RESMI INDONESIA,Rp2.599.000,4.9,25 terjual,Bekasi,oppo
OPPO A18 4/128 GB RAM 4 GB ROM 128 GB Garansi Resmi,Rp2.599.000,5.0,30+ terjual,Jakarta Pusat,oppo
OPPO A60 RAM 8/128GB | 8/256GB - GARANSI RESMI 1 TAHUN,Rp2.599.000,4.0,7 terjual,Kab. Tangerang,oppo
Oppo A18 4/128GB Garansi Resmi,Rp1.356.000,4.9,3rb+ terjual,Jakarta Pusat,oppo
Handphone Oppo A18 Ram 4 128GB,Rp1.356.000,4.7,250+ terjual,Tangerang,oppo
Oppo A58 NFC 8/128 GB 6/128 GB Garansi Resmi A 58 8 GB 6 GB 128 GB ,Rp2.068.000,4.9,1rb+ terjual,Jakarta Pusat,oppo
OPPO Reno 11F 5G 8/256 GB Garansi Resmi Reno 11 F 8 GB 256 GB Not 10,Rp3.693.000,4.9,500+ terjual,Jakarta Pusat,oppo
OPPO A78 4G 8/256GB Garansi Resmi - not Oppo A78 5G A58 A98 A77S,Rp2.671.000,5.0,250+ terjual,Jakarta Pusat,oppo
"Oppo A38 4/128 GB 6/128 GB  Garansi Resmi - Promo Black, 4/128GB",Rp1.575.000,4.9,30+ terjual,Jakarta Pusat,oppo
HP TECNO POVA 5 8/256GB - GARANSI RESMI,Rp1.575.000,,2 terjual,Banjarmasin,oppo
"HP POCO M5 4/64GB, 4/128GB EX DISPLAY / EX DEMO",Rp1.378.000,5.0,50+ terjual,Jakarta Utara,oppo
OPPO A18 4/128GB RAM 4GB+4GB ROM 128GB OPPO Terbaru 2024 Garansi Resmi,Rp1.499.000,5.0,13 terjual,Jakarta Utara,oppo
Oppo A3 Pro 5G 8GB /256GB,Rp1.499.000,,,Kab. Gianyar,oppo
Oppo A78 5G 8/128GB 8GB 128GB Garansi Resmi Not A77s A58,Rp2.693.000,4.9,250+ terjual,Jakarta Pusat,oppo
Oppo Reno 11F 5G [NFC] 8/256GB Garansi Resmi 1 Tahun,Rp3.724.000,4.9,100+ terjual,Jakarta Barat,oppo
OPPO A18 4/128 GB Garansi Resmi 4 GB 128 GB Not A17 A17K,Rp1.367.000,4.9,1rb+ terjual,Jakarta Pusat,oppo
OPPO A98 5G 8GB/256GB (Garansi Resmi) - Flash Promo,Rp3.491.000,4.9,250+ terjual,Tangerang,oppo
OPPO A58 8/128 GB NFC | OPPO A 58 6/128 GB NFC GARANSI RESMI OPPO,Rp1.699.900,4.9,500+ terjual,Jakarta Barat,oppo
Oppo Reno 11 5G 8/256 Amoled 120Hz Garansi Resmi 8GB 256GB,Rp4.796.000,4.8,100+ terjual,Jakarta Pusat,oppo
OPPO Reno 11 Pro 5G 12/512 GB - OPPO Reno 11 8/256 GB Garansi Resmi,Rp4.762.000,4.9,250+ terjual,Jakarta Pusat,oppo
OPPO Reno8 T 5G OPPO Reno 8T 5G,Rp2.972.500,4.8,100+ terjual,Jakarta Pusat,oppo
Oppo Reno 11F 5G 8/256 Amoled Dimensity 7050 Garansi Resmi,Rp3.693.000,4.9,250+ terjual,Jakarta Pusat,oppo
Oppo Reno 11F 8/256GB Garansi Resmi - Not Reno 10 5G,Rp3.680.000,5.0,250+ terjual,Jakarta Pusat,oppo
Handphone & tablet/handphone/android OS/   GA - Go@ld,Rp3.680.000,,,Kab. Malang,oppo
Oppo A38 Ram6/128Gb Original & Bergaransi Resmi Oppo,Rp3.680.000,5.0,8 terjual,Surabaya,oppo
Oppo A79 5G Ram 8Gb Rom 256Gb Barang Resmi Mulus Batangan minus box,Rp3.680.000,,,Jakarta Barat,oppo
"Oppo A58 NFC 6/128 GB 8/128 GB Garansi Resmi - Promo Black, 6/128GB",Rp2.041.000,5.0,4 terjual,Jakarta Pusat,oppo
HP android & tab android/android OSClass melon ice/toyota,Rp2.041.000,,,Kab. Malang,oppo
OPPO Reno8 5G,Rp2.041.000,5.0,28 terjual,Jakarta Pusat,oppo
OPPO A18 RAM 4/128 GB | OPPO A 18 4/128GB GARANSI RESMI OPPO INDONESIA,Rp1.299.900,4.9,250+ terjual,Jakarta Barat,oppo
Oppo A38 [4/128GB] [6/128GB] Garansi Resmi Oppo Indonesia,Rp1.606.000,5.0,100+ terjual,Jakarta Barat,oppo
OPPO A38 4/128 GB Garansi Resmi A38 Not A17 A33 A54 A57 A78 A98,Rp1.589.000,4.9,1rb+ terjual,Jakarta Pusat,oppo
Oppo A78 4G NFC 8/256GB Garansi Resmi - Hitam - Hijau,Rp1.589.000,5.0,100+ terjual,Depok,oppo
