product_name,price,rating,sell,location,kategori
Offical HP realme 12 5G 8GB+8GB*|256GB 108MP Camera 6.72 FHD+ LCD,Rp3.299.000,4.9,100+ terjual,Kab. Tangerang,realme
Offical realme Note 50 HP 4GB+4GB*|64GB 90Hz Display | Mini Capsule - Midnight Black,Rp1.299.000,5.0,500+ terjual,Kab. Tangerang,realme
Official realme GT 6 12GB+12GB*|256GB   Snapdragon 8s Gen 3 | 120W SUPERVOOC Charge |Sony LYT-808 OIS |  5500mAh Massive Battery |  IP65,Rp1.299.000,5.0,22 terjual,Kab. Tangerang,realme
realme C63 6GB+6GB* | 128GB 45W Fast Charge| 5000mAh Durable Battery | AI Boost Engine | 90Hz Eye Comfort Display |  50MP AI Camera,Rp1.940.000,4.8,100+ terjual,Kab. Tangerang,realme
"Realme Note 50 3/64GB 4/64GB 4/128GB Vivid Display Resmi - PROMO Blue, 3/64GB",Rp1.105.000,5.0,100+ terjual,Jakarta Pusat,realme
Realme Note 50 4/64GB Garansi Resmi - not c51 ,Rp1.156.000,4.9,1rb+ terjual,Jakarta Pusat,realme
Realme C53 NFC 6/128GB Garansi Resmi,Rp1.815.000,4.9,2rb+ terjual,Jakarta Pusat,realme
REALME C51 RAM 4/128 NFC | REALME C 51 RAM 4/64 GARANSI RESMI REALME,Rp1.269.900,4.8,100+ terjual,Jakarta Barat,realme
Realme 12 Pro Plus 5G 8/256 12/512 GB Beige Blue Garansi Resmi Not 11,Rp4.959.000,5.0,100+ terjual,Jakarta Pusat,realme
Official realme C65 HP 8*8+128GB 45W Fast Charge | 5000mAh Massive Battery | G85 | 5000mAh Massive Battery | IP54 Water Resistance | Rainwater Smart Touch,Rp2.399.000,4.9,90+ terjual,Kab. Tangerang,realme
realme C51s 6GB+6GB*|128GB 50MP AI Camera 7.49mm HP ANDROID - PROMO,Rp2.399.000,,3 terjual,Kab. Tangerang,realme
Realme C53 NFC 6/128GB 33W Supervooc Resmi - PROMO Black,Rp2.399.000,4.9,40+ terjual,Jakarta Pusat,realme
realme 12 5G 8GB+8GB*|256GB 108MP Camera 6.72 FHD+ LCD | 5G,Rp3.169.000,5.0,1 terjual,Kab. Tangerang,realme
"Realme C65 128GB 256GB [ Ram 8GB ] Purple Black Garansi Resmi Indonesia - Promo 8/128GB, Purple",Rp2.056.000,5.0,60+ terjual,Jakarta Pusat,realme
HP TECNO POVA 5 8/256GB - GARANSI RESMI,Rp2.056.000,,2 terjual,Banjarmasin,realme
Realme Note 50 4/64 GB Garansi Resmi Note 50 Not C51 C53 C55 C67,Rp1.208.000,5.0,1rb+ terjual,Jakarta Pusat,realme
Realme C67 NFC 8/256 GB 8/128 GB Garansi Resmi C67 Not C33 C51 C53 C55,Rp2.077.000,5.0,500+ terjual,Jakarta Pusat,realme
Realme 12 Pro Plus Pro+ 12 Plus 5G 8/256GB Garansi Resmi 8 GB 256 GB ,Rp3.093.000,5.0,500+ terjual,Jakarta Pusat,realme
Realme C65 NFC [8/128GB] [8/256GB] Garansi Resmi 1 Tahun,Rp3.093.000,4.9,50+ terjual,Jakarta Barat,realme
Realme 12 Pro Plus 5G 8/256 GB Garansi Resmi 8 256 512 GB Beige Blue,Rp3.027.000,5.0,100+ terjual,Jakarta Pusat,realme
Realme C65 8/256 GB 8/128 GB (+8GB EXTENDED RAM) Garansi Resmi Not C51 s C53 C55 C67,Rp2.077.000,4.9,500+ terjual,Jakarta Pusat,realme
Realme C53 6/128 GB Garansi Resmi C 53 Not C25S C30 C31 C33 C35 C55,Rp2.077.000,4.9,750+ terjual,Jakarta Pusat,realme
realme C67,Rp2.360.500,5.0,100+ terjual,Jakarta Pusat,realme
Realme Note 50 (4/128Gb / 4/64Gb) Garansi Resmi New,Rp1.144.000,5.0,1rb+ terjual,Jakarta Selatan,realme
