product_name,price,rating,sell,location,kategori
Samsung Galaxy A05s 6/128GB,Rp1.939.500,4.9,3rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy A55 5G 8/256GB,Rp5.999.000,4.9,2rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy Fit3 - Pink Gold,Rp849.000,5.0,1rb+ terjual,Jakarta Utara,samsung
MONITOR SAMSUNG 24 inch FHD IPS 75HZ LS24R350FHEXXD Bezel-less Design,Rp849.000,5.0,4rb+ terjual,Jakarta Selatan,samsung
Samsung Galaxy A05 6/128GB,Rp1.842.500,5.0,1rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB,Rp1.155.000,5.0,2rb+ terjual,Tangerang,samsung
Samsung Galaxy A05s 6/128 GB Garansi Resmi,Rp1.891.000,4.9,2rb+ terjual,Jakarta Barat,samsung
Samsung Galaxy A15 LTE 8/128GB,Rp2.521.500,4.9,2rb+ terjual,Jakarta Utara,samsung
Samsung A05 4/64 Garansi Resmi,Rp1.247.000,5.0,500+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A05 4/64 4/128 6/128 Garansi Resmi Sein By Tam,Rp1.198.000,4.9,3rb+ terjual,Jakarta Selatan,samsung
Samsung Galaxy S23 FE 8/256GB,Rp8.728.500,4.9,500+ terjual,Jakarta Utara,samsung
Samsung Galaxy A15 4G 5G 8/128 8/256 8 128 256 Smartphone,Rp2.377.000,5.0,500+ terjual,Jakarta Utara,samsung
Samsung Galaxy M15 5G 6/128GB,Rp2.499.000,5.0,100+ terjual,Jakarta Utara,samsung
"Samsung Z Fold 5 12GB 512GB Samsung Galaxy Fold 5 12GB 1TB Resmi - 256GB, Phantom Black",Rp18.130.000,4.9,250+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A35 5G 8/256GB,Rp4.999.000,5.0,1rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy A05s 6/128 Garansi Resmi,Rp1.897.000,5.0,500+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A15 4G (8/256Gb / 8/128Gb) Garansi Resmi Sein New,Rp2.392.000,4.9,2rb+ terjual,Jakarta Selatan,samsung
Samsung Galaxy A54 5G 8/256 GB Garansi Resmi SEIN,Rp4.688.000,4.9,2rb+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A15 4G 8/128GB,Rp2.489.000,5.0,100+ terjual,Jakarta Pusat,samsung
(RESMI) Samsung Galaxy Tab A9 A9 Plus + 2023 64GB 128GB Gray Blue,Rp1.764.000,5.0,500+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A55 8/128GB 8/256GB 12/512GB,Rp5.156.000,5.0,500+ terjual,Tangerang,samsung
Samsung Galaxy A55 5G 8/256GB,Rp5.999.000,4.9,2rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy A15 LTE 8/128 GB + 8/256 GB Garansi Resmi SEIN,Rp2.394.000,4.9,2rb+ terjual,Jakarta Barat,samsung
SAMSUNG GALAXY A15 RAM 8/128GB GARANSI RESMI,Rp2.428.000,5.0,60+ terjual,Jakarta Barat,samsung
Samsung Galaxy A05 4/64 GB Garansi Resmi,Rp1.261.000,4.9,250+ terjual,Jakarta Pusat,samsung
Samsung Galaxy S23 FE Garansi Resmi,Rp6.984.000,5.0,250+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A15 LTE 8/128GB,Rp2.521.500,4.9,2rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy S24 Ultra 12/256GB | 12/512GB | 12/1TB Garansi Resmi,Rp18.124.000,5.0,500+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A55 5G 12/256GB - Navy,Rp18.124.000,4.9,1rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy S24 Ultra 5G Garansi Resmi Sein,Rp17.120.500,5.0,250+ terjual,Jakarta Pusat,samsung
Samsung A35 5G 8/128GB 8/256GB,Rp4.341.000,5.0,250+ terjual,Tangerang,samsung
Samsung A55 5G NFC 8/256GB Garansi Resmi,Rp5.141.000,5.0,250+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A15 4G 8/128GB + 8/256GB Garansi Resmi 1 Tahun,Rp2.405.000,4.9,100+ terjual,Jakarta Barat,samsung
Samsung Galaxy A05s 6/128GB,Rp1.939.500,4.9,3rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy A35 5G NFC 8/256 Garansi Resmi,Rp4.375.000,5.0,90+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A05 4/64GB + 4/128GB + 6/128 GB Garansi Resmi,Rp1.289.000,5.0,1rb+ terjual,Jakarta Barat,samsung
Samsung Galaxy A15 4G 5G 8/128 8/256 RAM 8 128 256 GB 8GB 128GB 256GB,Rp2.392.000,5.0,500+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A05 6/128 GB Garansi Resmi,Rp1.735.000,5.0,250+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A54 5G,Rp4.271.000,5.0,4rb+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A05 6/128 GB 4/128 GB 4/64GB Garansi Resmi Not A04 A05S,Rp1.271.000,4.9,1rb+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A15 5G 8/256GB,Rp3.200.500,4.9,1rb+ terjual,Jakarta Utara,samsung
Samsung s24 | s24 plus | s24 ultra 256/512/1TB  Garansi Resmi Sein,Rp11.760.000,4.9,100+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A25 5G 8/256 GB Garansi Resmi 8 256 GB Black Blue,Rp3.362.000,4.9,500+ terjual,Jakarta Pusat,samsung
"Samsung Z Flip 5 8GB 512GB Samsung Galaxy Z Flip 5 256GB 128GB Resmi - 256GB PROMO, Mint",Rp11.270.000,5.0,250+ terjual,Jakarta Pusat,samsung
"Monitor Samsung 27"" Inch C27R500 Curved FHD LED FREESYNC | C27R500FHE",Rp11.270.000,5.0,750+ terjual,Jakarta Selatan,samsung
Samsung Galaxy S23 5G 8GB/256GB,Rp9.989.500,4.9,250+ terjual,Jakarta Utara,samsung
Samsung Galaxy A35 5G 8/256GB,Rp4.999.000,5.0,1rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy S24 Ultra 12/256GB | 12/512GB | 12/1TB Garansi Resmi,Rp18.124.000,5.0,500+ terjual,Jakarta Pusat,samsung
Samsung A55 5G 12/256 GB Garansi Resmi SEIN,Rp5.989.000,4.9,100+ terjual,Jakarta Pusat,samsung
Samsung A05 6/128 Garansi Resmi,Rp5.989.000,5.0,500+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A55 5G 8/256 GB - Garansi Resmi SEIN,Rp5.190.000,5.0,250+ terjual,Jakarta Timur,samsung
Samsung Galaxy A05 (6/128 / 4/128 / 4/64) Garansi Resmi Sein,Rp5.190.000,5.0,1rb+ terjual,Jakarta Selatan,samsung
Samsung A55 5G 8/256 GB Garansi Resmi SEIN,Rp5.306.000,4.9,100+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A55 5G [8/128GB] [8/256GB] [12/256GB] Garansi Resmi,Rp5.237.000,4.9,250+ terjual,Jakarta Barat,samsung
Samsung Galaxy A55 5G 12/256 GB 8/256 GB A55 Garansi Resmi Not A34 A35,Rp5.198.000,5.0,750+ terjual,Jakarta Pusat,samsung
Samsung Galaxy S24 Ultra - Garansi Resmi,Rp17.095.500,5.0,100+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A15 5G 8/256 GB Garansi Resmi Samsung Indonesia,Rp3.031.000,5.0,750+ terjual,Jakarta Barat,samsung
Samsung A35 5G 8/256 GB Garansi Resmi SEIN,Rp4.410.000,5.0,100+ terjual,Jakarta Pusat,samsung
SAMSUNG GALAXY A55 5G - NFC - 8GB 256GB 8/256 - Garansi Resmi,Rp5.218.000,5.0,250+ terjual,Jakarta Utara,samsung
Samsung Galaxy A15 NFC 8/128 Garansi Resmi,Rp2.372.000,5.0,250+ terjual,Jakarta Pusat,samsung
(RESMI) Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Black Green SIlver,Rp1.176.000,5.0,250+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A55 5G 12/256GB,Rp1.176.000,4.9,1rb+ terjual,Jakarta Utara,samsung
Samsung Galaxy A05s FREE Adaptor 25W,Rp1.896.500,5.0,1rb+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A55 5G 8/256GB (Upgraded From 128GB) Garansi Resmi,Rp5.899.000,5.0,60+ terjual,Denpasar,samsung
Samsung Galaxy A15,Rp2.390.500,5.0,1rb+ terjual,Jakarta Pusat,samsung
Samsung Galaxy S23 FE ( S23FE ) 5G 8/128GB 8/256GB,Rp6.839.000,5.0,500+ terjual,Tangerang,samsung
Samsung Galaxy S24 Ultra 12/256 GB - Garansi Resmi,Rp17.072.000,5.0,50+ terjual,Jakarta Timur,samsung
Samsung Galaxy A05s 6/128GB RAM 6GB,Rp1.875.000,5.0,100+ terjual,Tangerang,samsung
Samsung Galaxy S23 FE 8/128 8/256 RAM 8 ROM 128 256 GB 8GB 128GB 256GB,Rp6.742.000,4.9,250+ terjual,Jakarta Pusat,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,5.0,60+ terjual,Jakarta Selatan,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
Samsung Galaxy A05 4/64GB 4/128GB 6/128GB Garansi Resmi,Rp6.742.000,,,,samsung
