product_name,price,rating,sell,location,kategori
Official Xiaomi POCO M6 (8GB+256GB) | Kamera utama 108 MP kelas pro | Helio G91-Ultra yang tangguh | 33 W Turbo Charging,Rp1.999.000,5.0,250+ terjual,Kab. Tangerang,xiaomi
"Official Xiaomi POCO Pad (8GB+256GB) | Snapdragon 7s Gen 2 | Layar 2,5K 12,1"" 120 Hz | Kapasitas baterai besar 10.000 mAh",Rp4.598.000,,100+ terjual,Kab. Tangerang,xiaomi
Xiaomi Redmi A3 4/128 GB RAM 4GB ROM 128GB Garansi Resmi - Promo Black,Rp1.126.000,5.0,40+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 12 128GBGB [ Ram 8 GB ] Black Blue Silver Garansi Resmi,Rp1.776.000,5.0,100+ terjual,Jakarta Pusat,xiaomi
"XIAOMI REDMI 6A RAM 3/32 GB - gold, 3/32",Rp1.776.000,4.8,500+ terjual,Jakarta Barat,xiaomi
RESMI Poco C65 6/128 8/256 Helio G85 Garansi Resmi Xiaomi 128GB 256GB,Rp1.388.000,5.0,1rb+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi 13C 6/128 GB - Garansi Resmi Xiaomi Indonesia,Rp1.431.000,5.0,100+ terjual,Jakarta Utara,xiaomi
Xiaomi Redmi 13C 6/128 GB Garansi Resmi,Rp1.463.000,5.0,250+ terjual,Jakarta Pusat,xiaomi
Xiaomi Redmi Note 13 4G | Redmi Note 13 5G 8/256 GB Garansi Resmi,Rp2.472.000,5.0,1rb+ terjual,Jakarta Barat,xiaomi
Xiaomi Poco X5 5G AMOLED 6/128GB - 8/256GB Garansi Resmi,Rp2.851.000,5.0,500+ terjual,Jakarta Pusat,xiaomi
Xiaomi 13T 5G 12/256 GB 256GB New Segel Garansi Resmi Indonesia,Rp2.851.000,4.9,40+ terjual,Jakarta Barat,xiaomi
Xiaomi Redmi Note 13 AMOLED 120Hz 108MP Snapdragon 685 Garansi Resmi,Rp2.851.000,5.0,250+ terjual,Jakarta Pusat,xiaomi
